title,url,description,learning_type,duration,course_outline,target_audience
Genesys Cloud: Edge - Troubleshooting,https://beyond.genesys.com/explore/course/genesys-cloud-edge-troubleshooting,"Genesys Cloud Edge is a telephony server that handles media processing, SIP, and telephony services by combining a powerful media server, SIP registrar, and SIP proxy into a single survivable appliance. There are times when troubleshooting is required to maintain the functionality of the Edge device(s) that service Genesys Cloud. Genesys Cloud: Edge – Troubleshooting eLearning explores the following concepts: Gathering and filtering logs, troubleshooting tools, SIP analysis, and common troubleshooting scenarios.",Elearning,85 mins,"['Getting and Filtering Logs', 'Troubleshooting Tools', 'SIP Analysis', 'Common Issues']",Developers; System Administrators; Administrators
Genesys Cloud: Edge - BYOC Premises and Edge Introductory Concepts,https://beyond.genesys.com/explore/course/genesys-cloud-edge-byoc-premises-and-edge-introductory-concepts,"Genesys Cloud: Edge - BYOC Premises and Edge Introductory Concepts eLearning provides an introductory overview into the three telephony deployments offered in Genesys Cloud. The following learning will explore: Telephony options - Genesys Cloud Voice, Bring Your Own Carrier (BYOC) Cloud, Bring Your Own Carrier (BYOC) Premises, Edge model availability and considerations, and PSTN resource needs.",Elearning,15 mins,"['Telephony Options', 'Edge Models and Considerations', 'PSTN Connectivity']",Developers; System Administrators; Administrators
Genesys Cloud: API - Workforce Management,https://beyond.genesys.com/explore/course/genesys-cloud-api-workforce-management,"This course introduces you to Genesys Cloud Workforce Management (WFM) features through APIs. You will learn more about the basics of WFM. In addition, you will also explore how to fetch forecasting data and agent schedules using APIs.",Elearning,30 mins,"['Describe the basics of WFM.', 'Use APIs to fetch forecast data.', 'Demonstrate scheduling using APIs.', 'Review the real-time and historical adherence data using WFM.', 'Introduction to API and Workforce Management', 'Workforce Management Reports']",Developers
Genesys Cloud: API - Real-Time Reporting,https://beyond.genesys.com/explore/course/genesys-cloud-api-real-time-reporting,"Genesys Cloud: API – Real-Time Reporting eLearning provides an overview of analytic APIs used in Genesys Cloud. This course describes which APIs are available to build real-time reports, how to interact with instantaneous API endpoints, and how to use notification APIs with client applications.",Elearning,15 mins,"['Overview', 'Instantaneous Observation APIs', 'Notification APIs']",Developers
Genesys Cloud: API - Quality Report Generation,https://beyond.genesys.com/explore/course/genesys-cloud-api-quality-report-generation,Genesys Cloud: API- Quality Report Generation eLearning provides an overview of the quality management endpoints in Genesys Cloud. Quality management endpoint helps to evaluate agents and interactions to improve the overall quality of the contact center experience. The following eLearning provides insight about Evaluation and Survey APIs with examples. It also introduces you to the usage of filters to aid in querying the survey or evaluation data.,Elearning,25 mins,"['Overview', 'Evaluation APIs', 'Survey APIs', 'Filters']",Developers
Genesys Cloud: API - Historical Report Generation,https://beyond.genesys.com/explore/course/genesys-cloud-api-historical-report-generation,"Genesys Cloud: API - Historical Report Generation eLearning provides an overview to the concepts related to the variety of analytic APIs available to use with Genesys Cloud. The eLearning course guides users through the analytics overview, while also exploring how to use the aggregated APIs and detail record APIs to extract data from the environment.",Elearning,30 mins,"['Analytics Overview', 'Aggregated API', 'Detail Record API', 'Detail Record Jobs API']",Developers
Genesys Cloud: WEM - Speech and Text Analytics - Voice and Digital Transcriptions,https://beyond.genesys.com/explore/course/genesys-cloud-wem-speech-and-text-analytics-voice-and-digital-transcriptions,Genesys Cloud: WEM - Speech and Text Analytics – Voice and Digital Transcriptions eLearning course explains implementation of voice and digital transcriptions and its usage in detail. Transcription is a critical feature of Speech and Text Analytics. The voice and digital interactions are automatically transcribed for non-linguistic analysis to create meaning from otherwise unstructured data.,Elearning,20 mins,"['Understand Interactions view and Content Search view.', 'Explain the features of voice and digital transcripts.', 'Explain the steps to configure voice and digital transcripts in your organization.', 'Understand how to use transcripts.', 'Product Overview Interactions List Key Features of Voice and Digital Transcripts Voice and Digital Configuration Prerequisites for Configuration Usage - Transcription Transcript Tab Audio Hook Monitor', 'Interactions List', 'Key Features of Voice and Digital Transcripts', 'Prerequisites for Configuration']",
Genesys Cloud: API - Conversation Details,https://beyond.genesys.com/explore/course/genesys-cloud-api-conversation-details,Genesys Cloud: API - Conversation Details eLearning provides an overview of the term conversation in Genesys Cloud by exploring the conversation structure to properly analyze the JSON responses received from Genesys Cloud.,Elearning,10 mins,"['The following section is covered in this eLearning course: Introduction to Conversation details', 'Introduction to Conversation details']",Developers
Genesys Cloud: API - Authorization,https://beyond.genesys.com/explore/course/genesys-cloud-api-authorization,Genesys Cloud: API - Authorization eLearning provides an overview of what authorization means when communicating with the Genesys Cloud Platform APIs. The course walks users through the OAuth 2 framework used by Genesys Cloud and describes how different methods of authorization are used to grant applications permission to communicate with Genesys Cloud.,Elearning,25 mins,"['Authorization Overview', 'Implicit Grant', 'Authorization Code Grant', 'Client Credentials Grant', 'SAML2 Bearer Grant']",Developers
Genesys Cloud: Social Listening - Setup and Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-social-listening-setup-and-configuration,This course introduces the foundational concepts of the Genesys Cloud Social feature. You will learn how to integrate Genesys Cloud with social media platforms and interpret social posts based on the listening rules you configure.,Elearning,30 mins,"['Explain the purpose and value of social listening for customer engagement in Genesys Cloud.', 'Identify the supported social platform integrations.', 'Configure Genesys Cloud Social, including topics, data ingestion, and escalation rules.', 'Demonstrate how to set up data ingestion rules for capturing relevant social posts.', 'Recognize available views in the interface.', 'Navigate the Social Listening Posts view and escalate social content manually.', 'Review the Social Data Usage view to check your organization’s monthly social data usage.']",System Administrators; Administrators
